photo_id,posting_id,url
2,2,https://storage.googleapis.com/bamboo_site_images/listings/mgduyhmgi7qlf6qmztal.jpg
3,2,https://storage.googleapis.com/bamboo_site_images/listings/fijndujeaygtzchrocq0.jpg
4,2,https://storage.googleapis.com/bamboo_site_images/listings/s9a6ffvnv5csljkjlxmy.jpg
5,2,https://storage.googleapis.com/bamboo_site_images/listings/gy7gklio0afdo1tkcrrc.jpg
6,2,https://storage.googleapis.com/bamboo_site_images/listings/h5wsldlwy8sg8m5yqh3x.jpg
7,2,https://storage.googleapis.com/bamboo_site_images/listings/bfpsbvkh41nm3plc05ld.png
